property,local_workstation,asia-southeast1,us-central1
execution_environment,Native Microsoft Windows,Google Cloud Run Jobs Linux container,Google Cloud Run Jobs Linux container
region,"Local workstation, Sri Lanka",asia-southeast1,us-central1
operating_system,Microsoft Windows 11 Home; version 10.0.26200; build 26200,Debian GNU/Linux 13 (trixie); Linux 6.9.12; glibc 2.41,Debian GNU/Linux 13 (trixie); Linux 6.9.12; glibc 2.41
cpu_architecture,x86_64 (64-bit),x86_64,x86_64
compute_resources,Intel Core i7-10750H CPU at 2.60 GHz; 6 physical cores; 12 logical processors,2 allocated vCPU; provider host CPU model not controlled,2 allocated vCPU; provider host CPU model not controlled
memory,15.8 GiB installed RAM,4 GiB allocated memory,4 GiB allocated memory
python_version,Python 3.12.2,"3.12.13 (main, Jun 24 2026, 02:08:01) [GCC 14.2.0]","3.12.13 (main, Jun 24 2026, 02:08:01) [GCC 14.2.0]"
dependency_lock_sha256,c17a8082c9f796b30a7712a0939526701298ae3d8738bb8886879f5019762f88,c17a8082c9f796b30a7712a0939526701298ae3d8738bb8886879f5019762f88,c17a8082c9f796b30a7712a0939526701298ae3d8738bb8886879f5019762f88
container_base_image,Not applicable,python@sha256:57cd7c3a7a273101a6485ba99423ee568157882804b1124b4dd04266317710de,python@sha256:57cd7c3a7a273101a6485ba99423ee568157882804b1124b4dd04266317710de
final_container_image,Not applicable,sha256:bfcc798c003790c81544f712b9fa403d997ea5200a084ea74a79db651e62fcfc,sha256:bfcc798c003790c81544f712b9fa403d997ea5200a084ea74a79db651e62fcfc
locale,en-GB,C.UTF-8,C.UTF-8
time_zone,Sri Lanka Standard Time; UTC+05:30,UTC; +0000,UTC; +0000
resource_or_power_mode,Windows Balanced power plan,Cloud Run Jobs second-generation execution environment; 2 vCPU; 4 GiB; zero retries,Cloud Run Jobs second-generation execution environment; 2 vCPU; 4 GiB; zero retries
benchmark_configuration,configs/fgcs_extended_benchmark.yaml,configs/fgcs_extended_benchmark.yaml,configs/fgcs_extended_benchmark.yaml
